DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200512616;08/03/2020 12:00:00 AM;Harbor     ;OTHER ASSAULT                                           ;08/03/2020 12:00:00 AM;2020
200512914;08/12/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;08/12/2020 12:00:00 AM;1523
200510123;05/31/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;05/30/2020 12:00:00 AM;2100
200506944;03/09/2020 12:00:00 AM;Harbor     ;BURGLARY                                                ;03/07/2020 12:00:00 AM;1300
200514941;10/06/2020 12:00:00 AM;Harbor     ;CHILD ANNOYING (17YRS & UNDER)                          ;04/01/2020 12:00:00 AM;2019
200504703;01/17/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;01/16/2020 12:00:00 AM;1200
200508158;04/11/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;04/01/2020 12:00:00 AM;1500
200505526;02/05/2020 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/05/2020 12:00:00 AM;2200
200514102;09/14/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;09/14/2020 12:00:00 AM;145
200510675;06/16/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;06/13/2020 12:00:00 AM;340
200507056;03/11/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;03/11/2020 12:00:00 AM;2105
200506170;02/20/2020 12:00:00 AM;Harbor     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;02/20/2020 12:00:00 AM;2000
200511387;07/02/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/02/2020 12:00:00 AM;1420
200505118;01/27/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;01/27/2020 12:00:00 AM;1300
200515550;10/20/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;10/20/2020 12:00:00 AM;1020
200509281;05/10/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/10/2020 12:00:00 AM;1430
200513367;08/25/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;08/23/2020 12:00:00 AM;1900
200506744;03/04/2020 12:00:00 AM;Harbor     ;BURGLARY                                                ;03/01/2020 12:00:00 AM;1500
200512437;07/29/2020 12:00:00 AM;Harbor     ;VIOLATION OF RESTRAINING ORDER                          ;07/29/2020 12:00:00 AM;945
200517171;11/28/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/28/2020 12:00:00 AM;200
200517861;12/16/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;12/16/2020 12:00:00 AM;200
200511463;07/05/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;07/04/2020 12:00:00 AM;2200
200516153;11/03/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;11/03/2020 12:00:00 AM;850
200510859;06/21/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;06/21/2020 12:00:00 AM;1220
200515831;10/26/2020 12:00:00 AM;Harbor     ;ROBBERY                                                 ;10/26/2020 12:00:00 AM;2045
200505266;01/30/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/29/2020 12:00:00 AM;303
200518096;12/22/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;12/22/2020 12:00:00 AM;700
200509841;05/23/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;05/23/2020 12:00:00 AM;1900
200515677;10/23/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;10/23/2020 12:00:00 AM;200
